,city,clouds,country,humidity,lat,lon,max_temp,wind_speed,date
72,assiros,75,GR,93,40.82,23.03,63,2.24,10/19/2019
73,saint-philippe,1,CA,93,45.36,-73.48,39,3.36,10/19/2019
74,santa lucia,0,IT,87,41.98,12.66,64.4,2.24,10/19/2019
75,port elizabeth,1,US,87,39.31,-74.98,54,4.25,10/19/2019
76,norman wells,75,CA,92,65.28,-126.83,30.2,3.36,10/19/2019
77,hermanus,0,ZA,96,-34.42,19.24,59,8.3,10/19/2019
78,samana,91,EC,99,0.12,-76.97,70.57,1.03,10/19/2019
79,bandarbeyla,98,SO,82,9.49,50.81,74.89,9.82,10/19/2019
80,kahului,20,US,55,20.89,-156.47,86,12.75,10/19/2019
81,yumbe,0,UG,91,3.47,31.25,64.03,3.6,10/19/2019
82,gangotri,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
83,thompson,90,CA,80,55.74,-97.86,39.2,10.29,10/19/2019
84,batavia,1,US,93,43,-78.19,46,3.36,10/19/2019
85,atuona,0,PF,71,-9.8,-139.03,79.93,17.83,10/19/2019
86,san bartolome de tirajana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
87,kodiak,1,US,93,39.95,-94.76,50,4.32,10/19/2019
88,ixtapa,90,MX,100,20.71,-105.21,77,7.2,10/19/2019
89,hasaki,75,JP,64,35.73,140.83,73.99,11.41,10/19/2019
90,luderitz,0,NA,76,-26.65,15.16,58.16,17.98,10/19/2019
91,bairiki,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
92,hithadhoo,99,MV,79,-0.6,73.08,81.8,15.57,10/19/2019
93,zhicheng,100,CN,46,35.04,112.59,71.93,2.64,10/19/2019
94,sabang,2,PH,83,13.8,121.11,82,5.99,10/19/2019
95,chokurdakh,41,RU,94,70.62,147.9,3.68,8.61,10/19/2019
96,verkhoyansk,96,RU,90,67.55,133.39,19.27,1.25,10/19/2019
97,goderich,72,CA,91,43.74,-81.71,46,11.99,10/19/2019
98,ewa beach,90,US,74,21.32,-158.01,87.8,9.17,10/19/2019
99,saint-joseph,90,FR,88,43.56,6.97,69.01,6.58,10/19/2019
100,husavik,15,CA,91,50.56,-96.99,44.01,8.05,10/19/2019
101,asayita,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
102,hilo,90,US,83,19.71,-155.08,77,5.82,10/19/2019
103,zalari,86,RU,59,53.57,102.52,35.16,5.5,10/19/2019
104,cabo san lucas,75,MX,83,22.89,-109.91,78.01,11.41,10/19/2019
105,mergui,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
106,bulolo,82,PG,49,-7.2,146.64,84.91,4.5,10/19/2019
107,new norfolk,40,AU,39,-42.78,147.06,66.2,20.8,10/19/2019
108,vangaindrano,53,MG,93,-23.35,47.6,66.57,3.78,10/19/2019
109,saint george,20,GR,93,39.45,22.34,57.2,5.82,10/19/2019
110,sentyabrskiy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
111,abu dhabi,0,AE,83,24.47,54.37,80.6,3.36,10/19/2019
112,zhanatas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
113,georgetown,40,GY,94,6.8,-58.16,77,4.7,10/19/2019
114,coihueco,68,CL,87,-36.63,-71.83,55,2.24,10/19/2019
115,bambous virieux,40,MU,69,-20.34,57.76,75,11.41,10/19/2019
116,ribeira grande,17,PT,64,38.52,-28.7,63.76,11.18,10/19/2019
117,codajas,91,BR,90,-3.84,-62.06,72.6,1.07,10/19/2019
118,singkang,75,MY,70,2.1,102.8,86,8.05,10/19/2019
119,lebu,75,ET,82,8.96,38.73,57.2,4.7,10/19/2019
120,houston,1,US,83,29.76,-95.37,80.01,8.9,10/19/2019
121,ahipara,99,NZ,77,-35.17,173.16,66.99,2.89,10/19/2019
122,nikolskoye,20,RU,87,59.7,30.79,48,8.95,10/19/2019
123,aklavik,75,CA,85,68.22,-135.01,23,8.05,10/19/2019
124,qaqortoq,100,GL,81,60.72,-46.03,44.6,2.24,10/19/2019
125,morant bay,20,JM,69,17.88,-76.41,82.4,2.24,10/19/2019
126,nouakchott,37,MR,64,18.08,-15.98,75.2,14.99,10/19/2019
127,ojuelos de jalisco,100,MX,80,21.86,-101.59,62.95,8.39,10/19/2019
128,the valley,20,AI,78,18.22,-63.06,82.4,6.93,10/19/2019
129,alofi,35,NU,78,-19.06,-169.92,80.6,11.41,10/19/2019
130,mahebourg,40,MU,69,-20.41,57.7,75,11.41,10/19/2019
131,cidreira,100,BR,82,-30.17,-50.22,56.11,4.54,10/19/2019
132,arlit,6,NE,17,18.74,7.39,87.07,6.8,10/19/2019
133,keti bandar,0,PK,53,24.14,67.45,83.85,12.41,10/19/2019
134,katsuura,75,JP,60,33.93,134.5,73.4,12.75,10/19/2019
135,gamba,47,CN,50,28.28,88.52,34.22,5.03,10/19/2019
136,carnarvon,0,ZA,23,-30.97,22.13,61.78,5.97,10/19/2019
137,grand river south east,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
138,varkkallai,75,IN,83,8.73,76.71,80.6,1.12,10/19/2019
139,barentsburg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
140,fairbanks,75,US,69,64.84,-147.72,33.8,2.91,10/19/2019
141,corinto,75,CO,88,3.17,-76.26,68,5.82,10/19/2019
142,hay river,90,CA,80,60.82,-115.79,33.8,4.7,10/19/2019
143,visby,100,SE,100,57.64,18.3,53.01,10.29,10/19/2019
144,zhuhai,0,CN,26,40.71,112.04,48.2,4.47,10/19/2019
145,sao felix do xingu,84,BR,95,-6.64,-51.99,72.06,1.5,10/19/2019
146,faanui,32,PF,79,-16.48,-151.75,80.65,12.19,10/19/2019
147,naze,40,NG,100,5.43,7.07,73.4,3.67,10/19/2019
148,port hardy,75,CA,87,50.7,-127.42,46.4,8.05,10/19/2019
149,ostrovnoy,100,RU,73,68.05,39.51,32.12,19.89,10/19/2019
150,khonuu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
151,carutapera,35,BR,77,-1.2,-46.02,80.27,6.6,10/19/2019
152,severnyy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
153,tuktoyaktuk,20,CA,79,69.44,-133.03,21.2,12.75,10/19/2019
154,satitoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
155,puerto carreno,90,CO,90,6.19,-67.49,76.34,0.27,10/19/2019
156,thinadhoo,92,MV,78,0.53,72.93,82.21,15.46,10/19/2019
157,otane,20,NZ,66,-39.89,176.62,64,10,10/19/2019
158,adrar,0,DZ,28,27.87,-0.29,71.6,10.29,10/19/2019
159,zonguldak,0,TR,79,41.25,31.83,64.45,3.22,10/19/2019
160,maraba,0,BR,78,-5.35,-49.1,82.4,4.7,10/19/2019
161,mahibadhoo,50,MV,77,3.78,72.97,82.79,10.47,10/19/2019
162,lashio,15,MM,62,22.93,97.75,79.94,1.07,10/19/2019
163,dikson,100,RU,95,73.51,80.55,26.56,25.59,10/19/2019
164,bilma,23,NE,24,18.69,12.92,82.88,5.21,10/19/2019
165,lensk,100,RU,75,60.71,114.91,31.06,7.16,10/19/2019
166,high level,90,CA,94,58.52,-117.13,32,2.24,10/19/2019
167,nangong,87,CN,40,37.36,115.37,71.23,9.82,10/19/2019
168,beringovskiy,100,RU,78,63.05,179.32,22.87,6.35,10/19/2019
169,puerto baquerizo moreno,100,EC,81,-0.9,-89.6,68.78,14.79,10/19/2019
170,yulara,91,AU,11,-25.24,130.99,89.6,14.99,10/19/2019
171,iquique,75,CL,72,-20.22,-70.14,62.6,11.41,10/19/2019
172,hofn,41,IS,36,64.25,-15.21,26.05,5.93,10/19/2019
173,narrabri,0,AU,12,-30.33,149.78,77,12.75,10/19/2019
174,gazanjyk,0,TM,22,39.24,55.52,59.59,5.66,10/19/2019
175,muros,40,ES,100,42.77,-9.06,54,2.24,10/19/2019
176,cherskiy,91,RU,93,68.75,161.3,8.88,5.88,10/19/2019
177,riverton,1,US,69,43.02,-108.38,44.01,8.84,10/19/2019
178,busselton,0,AU,42,-33.64,115.35,78.01,12.5,10/19/2019
179,banjarmasin,20,ID,70,-3.32,114.59,86,3.36,10/19/2019
180,bluff,0,AU,9,-23.58,149.07,88.64,11.92,10/19/2019
181,porto novo,75,BR,88,-23.68,-45.44,68,3.36,10/19/2019
182,portland,1,US,80,43.66,-70.25,43,2.3,10/19/2019
183,bayan,56,CN,49,36.1,102.26,44.74,2.98,10/19/2019
184,san juan,83,AR,60,-31.54,-68.53,51.27,3.71,10/19/2019
185,noyabrsk,86,RU,69,63.2,75.45,23.6,13.13,10/19/2019
186,ekhabi,100,RU,71,53.51,142.97,47.29,4.14,10/19/2019
187,opuwo,93,NA,53,-18.06,13.84,70.96,1.36,10/19/2019
188,hamilton,75,CA,100,43.26,-79.87,50,4.7,10/19/2019
189,ulaangom,100,MN,42,49.98,92.07,38.36,1.19,10/19/2019
190,iqaluit,20,CA,73,63.75,-68.52,24.8,5.82,10/19/2019
191,lianzhou,0,CN,43,24.79,112.38,79.01,1.9,10/19/2019
192,illoqqortoormiut,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
193,tarko-sale,100,RU,85,64.92,77.78,23,4,10/19/2019
194,srandakan,69,ID,81,-7.94,110.25,77.89,12.06,10/19/2019
195,pasaje,90,EC,33,-3.33,-79.81,89.6,5.82,10/19/2019
196,guerrero negro,0,MX,80,27.97,-114.04,67.56,18.16,10/19/2019
197,nome,90,US,88,30.04,-94.42,78.8,4.7,10/19/2019
198,salinas,90,US,87,36.67,-121.66,62.6,4.7,10/19/2019
199,vanavara,83,RU,59,60.35,102.28,24.68,4,10/19/2019
200,yilan,10,CN,54,43.11,129.52,60.18,3.56,10/19/2019
201,rudnogorsk,62,RU,70,57.27,103.75,30.5,2.95,10/19/2019
202,tuatapere,91,NZ,86,-46.13,167.69,54,5.01,10/19/2019
203,isangel,75,VU,88,-19.55,169.27,73.4,11.41,10/19/2019
204,kununurra,1,AU,16,-15.77,128.74,105.8,11.41,10/19/2019
205,nalut,0,LY,45,31.86,10.98,69.18,13.09,10/19/2019
206,lamu,56,CN,49,35.77,102.37,44.74,2.98,10/19/2019
207,avarua,28,CK,83,-21.21,-159.78,75.2,10.29,10/19/2019
208,necochea,0,AR,95,-38.55,-58.74,42.01,4,10/19/2019
209,serpneve,0,UA,91,46.3,29.02,52.82,4.68,10/19/2019
210,cabra,40,ES,87,37.47,-4.43,62.01,9.17,10/19/2019
211,solnechnyy,91,RU,69,50.72,136.64,48.46,2.89,10/19/2019
212,manokwari,23,ID,70,-0.87,134.08,80.61,6.11,10/19/2019
213,meulaboh,82,ID,80,4.14,96.13,80.9,6.82,10/19/2019
214,port alfred,100,ZA,97,-33.59,26.89,64.99,4,10/19/2019
215,shangrao,0,CN,34,28.45,117.97,79.33,3.38,10/19/2019
216,atar,0,MR,27,20.52,-13.05,79.51,7.36,10/19/2019
217,kedrovyy,75,RU,79,56.17,91.82,24.8,4.47,10/19/2019
218,puerto escondido,86,MX,89,15.86,-97.07,75.79,2.64,10/19/2019
219,wanning,75,AT,100,48.64,13.53,51.01,6.93,10/19/2019
220,margate,40,AU,39,-43.03,147.26,66.2,20.8,10/19/2019
221,kaeo,100,NZ,77,-35.1,173.78,66.99,5.55,10/19/2019
222,sinnamary,85,GF,83,5.38,-52.96,81.47,15.1,10/19/2019
223,hunza,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
224,lagoa,0,PT,87,37.14,-8.45,57.99,2.24,10/19/2019
225,harper,75,US,48,30.3,-99.24,73.99,5.21,10/19/2019
226,ligayan,76,PH,71,4.65,119.47,84.03,5.1,10/19/2019
227,pisco,0,PE,82,-13.71,-76.2,62.6,11.41,10/19/2019
228,havre-saint-pierre,75,CA,80,50.23,-63.6,39.2,6.93,10/19/2019
229,fukue,20,JP,53,35.03,136.69,77,10.29,10/19/2019
230,amderma,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
231,ilulissat,83,GL,79,69.22,-51.1,28.4,5.82,10/19/2019
232,kloulklubed,75,PW,66,7.04,134.26,87.8,4.7,10/19/2019
233,stokmarknes,97,NO,73,68.56,14.91,30.99,5.99,10/19/2019
234,beyneu,33,KZ,41,45.32,55.19,57.08,7.72,10/19/2019
235,ponta do sol,67,BR,83,-20.63,-46,67.97,2.06,10/19/2019
236,macamic,75,CA,79,48.75,-79,41,5.82,10/19/2019
237,saskylakh,0,RU,91,71.97,114.09,-4.44,3.31,10/19/2019
238,klaksvik,100,FO,62,62.23,-6.59,41,5.82,10/19/2019
239,esperance,79,AU,32,-33.86,121.89,82.4,16.11,10/19/2019
240,marienburg,75,DE,93,52.12,9.98,55.99,2.24,10/19/2019
241,nizhneyansk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
242,carroll,0,AU,15,-30.99,150.44,77,6.93,10/19/2019
243,belmonte,100,PT,79,40.36,-7.35,50,5.99,10/19/2019
244,sterlibashevo,100,RU,79,53.44,55.26,30.32,12.17,10/19/2019
245,dingle,91,PH,74,11,122.67,85.38,9.89,10/19/2019
246,toliary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
247,izhma,100,RU,81,65.01,53.91,33.36,14.67,10/19/2019
248,karatau,0,KZ,31,43.18,70.46,53.11,2.1,10/19/2019
249,tessaoua,36,NE,52,13.76,7.99,82.84,7.92,10/19/2019
250,kaitangata,100,NZ,67,-46.28,169.85,55,7,10/19/2019
251,samalaeulu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
252,ternate,40,PH,62,14.29,120.72,91,8.05,10/19/2019
253,rio claro,84,BR,85,-22.41,-47.56,65.42,13.06,10/19/2019
254,port keats,4,AU,58,-14.25,129.55,89.54,13.27,10/19/2019
255,nioro,67,GM,76,13.79,-15.05,80.97,7.56,10/19/2019
256,toora-khem,100,RU,73,52.47,96.11,29.15,2.68,10/19/2019
257,ishinomaki,75,JP,43,38.42,141.3,71.6,17.22,10/19/2019
258,dudinka,40,RU,92,69.41,86.18,14,19.33,10/19/2019
259,okhotsk,95,RU,68,59.36,143.24,35.05,6.6,10/19/2019
260,kutum,57,SD,57,14.2,24.66,74.89,4,10/19/2019
261,tura,20,RU,86,64.27,100.22,11.06,3.49,10/19/2019
262,malakal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
263,luwuk,100,ID,92,-0.95,122.79,70.67,4.36,10/19/2019
264,inderborskiy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
265,bilibino,0,RU,95,68.06,166.44,1.19,0.6,10/19/2019
266,atlantic city,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
267,hobyo,26,SO,72,5.35,48.53,77.57,12.28,10/19/2019
268,pangkalanbuun,100,ID,61,-2.68,111.62,89.25,3.67,10/19/2019
269,nador,0,MA,72,35.17,-2.93,73.4,8.05,10/19/2019
270,kishtwar,0,IN,52,33.31,75.77,42.86,2.17,10/19/2019
271,micheweni,95,TZ,80,-4.97,39.83,79.55,5.88,10/19/2019
272,ruatoria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
273,lieksa,100,FI,96,63.32,30.02,44.54,4.81,10/19/2019
274,vestmanna,100,FO,61,62.16,-7.17,41,5.82,10/19/2019
275,tasbuget,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
276,vao,100,EE,96,59.1,26.19,46.73,7.38,10/19/2019
277,chontalpa,100,MX,95,17.7,-93.52,78.79,4.47,10/19/2019
278,el alto,90,BO,93,-16.5,-68.19,41,5.82,10/19/2019
279,tarata,75,PE,82,-17.47,-70.03,59,4.7,10/19/2019
280,zagare,90,LT,100,56.36,23.25,50,5.82,10/19/2019
281,kolo,20,BA,93,43.71,17.22,57,2.24,10/19/2019
282,komsomolskiy,100,RU,94,67.55,63.78,25.01,20,10/19/2019
283,narsaq,100,GL,81,60.91,-46.05,44.6,2.24,10/19/2019
284,elko,1,US,41,40.83,-115.76,42.8,8.05,10/19/2019
285,tiarei,75,PF,78,-17.53,-149.33,80.6,2.24,10/19/2019
286,bengkulu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
287,olafsvik,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
288,san cristobal,76,HN,90,14.68,-86.92,67.43,3.56,10/19/2019
289,nemuro,75,JP,62,43.32,145.57,59,14.99,10/19/2019
290,zaqatala,75,AZ,87,41.63,46.65,55.4,6.93,10/19/2019
291,tiznit,0,MA,88,29.7,-9.73,66.35,11.63,10/19/2019
292,majene,35,ID,81,-3.54,118.97,81.94,17.54,10/19/2019
293,tambacounda,0,SN,88,13.77,-13.67,80.6,4.7,10/19/2019
294,otukpo,98,NG,98,7.19,8.13,71.43,4.05,10/19/2019
295,tabiauea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
296,itoman,75,JP,94,26.12,127.67,75.2,5.82,10/19/2019
297,petatlan,100,MX,80,17.52,-101.27,80.61,4.18,10/19/2019
298,tarudant,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
299,punta cardon,100,VE,80,11.61,-70.22,83.51,13.29,10/19/2019
300,kapit,2,MY,53,2.02,112.94,91.12,2.01,10/19/2019
301,vondrozo,29,MG,91,-22.82,47.32,60.43,2.26,10/19/2019
302,isiro,100,CD,99,2.77,27.62,67.2,2.48,10/19/2019
303,port lincoln,0,AU,73,-34.72,135.86,55.09,10,10/19/2019
304,luanda,75,AO,88,-8.83,13.24,75.2,5.82,10/19/2019
305,rio cuarto,75,AR,77,-33.13,-64.35,59,9.17,10/19/2019
306,aswan,0,EG,29,24.09,32.9,75.43,7.49,10/19/2019
307,buraydah,0,SA,46,26.33,43.97,71.6,6.93,10/19/2019
308,airai,5,TL,38,-8.93,125.41,91.75,6.06,10/19/2019
309,palmerston north,69,NZ,66,-40.35,175.62,62.01,8.01,10/19/2019
310,severo-kurilsk,0,RU,77,50.68,156.12,40.63,15.48,10/19/2019
311,kruisfontein,100,ZA,93,-34,24.73,61.69,7.07,10/19/2019
312,galesong,20,ID,44,-5.32,119.37,93.2,10.29,10/19/2019
313,cayenne,0,GF,88,4.94,-52.33,78.8,2.24,10/19/2019
314,bathsheba,20,BB,74,13.22,-59.52,82.4,9.17,10/19/2019
315,ponta delgada,40,PT,67,37.73,-25.67,60.8,6.93,10/19/2019
316,samusu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
317,madingou,99,CG,95,-4.17,13.56,72.94,3.6,10/19/2019
318,chenzhou,0,CN,40,25.81,113.03,79.6,3.02,10/19/2019
319,belushya guba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
320,gisborne,23,NZ,54,-38.66,178.02,69.01,1.99,10/19/2019
321,vila franca do campo,40,PT,67,37.72,-25.43,60.8,6.93,10/19/2019
322,bethel,1,US,63,60.79,-161.76,33.8,5.82,10/19/2019
323,salalah,0,OM,60,17.01,54.1,75.2,3.36,10/19/2019
324,juneau,90,US,87,58.3,-134.42,45,5.82,10/19/2019
325,tautira,75,PF,78,-17.73,-149.15,80.6,2.24,10/19/2019
326,hambantota,40,LK,100,6.12,81.12,78.8,4.7,10/19/2019
327,olga,1,US,68,34.11,-118.17,71.01,1.36,10/19/2019
328,tagusao,100,PH,69,9.19,117.81,83.85,4.36,10/19/2019
329,te anau,89,NZ,82,-45.41,167.72,45.4,6.31,10/19/2019
330,burnie,100,AU,74,-41.05,145.91,57.99,3,10/19/2019
331,jalu,0,LY,83,29.03,21.55,67.31,7.92,10/19/2019
332,novikovo,75,RU,83,51.15,37.89,48.93,3.94,10/19/2019
333,vila velha,75,BR,83,-3.71,-38.6,79,10.29,10/19/2019
334,diamantino,100,BR,85,-14.4,-56.44,74.71,3.31,10/19/2019
335,mizan teferi,60,ET,94,6.99,35.58,60.02,3.38,10/19/2019
336,kang,0,BW,19,-23.67,22.79,68.8,8.95,10/19/2019
337,yomitan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
338,clyde river,1,CA,85,70.47,-68.59,17.6,3.36,10/19/2019
339,tambura,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
340,acari,10,BR,75,-6.44,-36.64,74.8,15.08,10/19/2019
341,mlimba,78,TZ,91,-8.78,35.81,66.07,5.21,10/19/2019
342,senneterre,90,CA,86,48.39,-77.24,37.4,6.93,10/19/2019
343,tecoanapa,40,MX,94,16.99,-99.26,78.8,3.36,10/19/2019
344,batamshinskiy,90,KZ,79,50.56,58.27,26.6,15.66,10/19/2019
345,huarmey,95,PE,90,-10.07,-78.15,61.58,18.59,10/19/2019
346,black river,20,JM,88,18.03,-77.85,78.8,6.93,10/19/2019
347,acapulco,40,MX,94,16.86,-99.88,78.8,3.36,10/19/2019
348,troitsko-pechorsk,96,RU,68,62.71,56.19,27.29,13.49,10/19/2019
349,russell,1,US,61,38.9,-98.86,52,9.17,10/19/2019
350,sao raimundo das mangabeiras,0,BR,61,-7.02,-45.48,80.63,2.91,10/19/2019
351,amnat charoen,16,TH,57,15.86,104.63,86,16.49,10/19/2019
352,kiunga,61,PG,46,-6.12,141.3,92.49,3.09,10/19/2019
353,dongying,45,CN,36,37.43,118.67,73.09,7.18,10/19/2019
354,lompoc,1,US,59,34.64,-120.46,64,10.29,10/19/2019
355,detchino,0,RU,81,54.81,36.31,51.8,2.24,10/19/2019
356,antofagasta,90,CL,72,-23.65,-70.4,59,9.17,10/19/2019
357,hirado,100,JP,68,33.32,129.49,77,19.46,10/19/2019
358,voh,0,NC,77,-20.95,164.69,74.56,12.88,10/19/2019
359,vaitupu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10/19/2019
360,algiers,1,US,94,29.94,-90.04,72,2.53,10/19/2019
361,brenham,90,US,69,30.17,-96.4,82.4,8.05,10/19/2019
362,haimen,0,CN,52,31.87,121.18,73.99,4.94,10/19/2019
363,pitea,0,SE,85,65.32,21.48,26.01,9.17,10/19/2019
364,colotlan,100,MX,78,22.1,-103.27,65.17,1.05,10/19/2019
365,yunyang,100,CN,26,32.84,110.81,64.99,1.01,10/19/2019
